id,originalTitle,type,releaseDate,genres,averageRating,numVotes,description
tt27706593,The Rivals of Amziah King,movie,2025-03-10,"['Crime', 'Drama', 'Thriller']",8.2,204.0,"Kateri loses her mother, leaves foster care. Reunites with former foster parent Amziah who mentors her, revealing hidden skills. Faces devastating situation, relies on newfound strength to seek justice."
tt21103218,The Lost Bus,movie,2025-10-03,"['Biography', 'Drama', 'History']",6.9,31902.0,A wayward school bus driver and a dedicated school teacher battle to save 22 children from a terrifying inferno.
tt27590028,The Oscars,tvSpecial,2024-03-10,"['Comedy', 'Music', 'Reality-TV']",6.7,1564.0,"The 96th Academy Awards, held on March 10th, 2024 from the Dolby Threatre in Hollywood and hosted by comedian Jimmy Kimmel for the fourth time. The cultural phenomenon of ""Barbenheimer"" in six different categories is a recurring theme."
tt31937790,Superhuman Body: World of Medical Marvels,movie,2024-04-12,['Documentary'],6.9,24.0,"Explores the work of scientists and bioengineers who are behind groundbreaking medical innovations, such as CAR T-cell immunotherapy and the inner workings of the human body for treating blood cancers like leukemia."
tt29580199,Unsolved Mysteries: Behind the Legacy,movie,2023-10-05,['Reality-TV'],7.3,104.0,"A tribute to the iconic series that shaped future generations of true crime TV, featuring interviews with the creators and exclusive behind-the-scenes footage."
tt10814036,Agent Elvis,tvSeries,2023-03-17,"['Action', 'Animation', 'Comedy']",6.8,2845.0,Elvis trades in his jumpsuit for a jetpack when he joins a secret government spy program to help battle the dark forces that threaten the country.
tt23219702,2023 CMT Music Awards,tvSpecial,,['Music'],6.0,62.0,
tt18967390,Deep in the Heart: A Texas Wildlife Story,movie,2022-06-03,['Documentary'],7.6,260.0,"A visually stunning celebration of what makes Texas unique, its diverse landscapes and remarkable wildlife behavior that cannot be found anywhere else in the world."
tt14477048,Oscars: Into the Spotlight,tvSpecial,,,5.7,27.0,
tt12688170,The Kids Tonight Show,tvSeries,2021-10-14,"['Comedy', 'Family', 'Talk-Show']",5.3,66.0,Kids version of 'The Tonight Show'.
tt13819950,Stephen A's World,tvSeries,2021-01-11,"['Sport', 'Talk-Show']",4.5,39.0,ESPN commentator Stephen A. Smith hosts this new show featuring his unfiltered take on all the day's biggest sports stories.
tt6467266,Sing 2,movie,2021-12-22,"['Adventure', 'Animation', 'Comedy']",7.3,98250.0,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
tt12599288,Uncomfortable Conversations with a Black Man,tvMiniSeries,2020-06-03,"['Documentary', 'Reality-TV', 'Short']",6.4,24.0,A conversation with Emmanuel Acho about race that many white people have never been able to have.
tt12179810,The Anytime Show with Mister H. I.,tvSeries,2020-04-17,['Talk-Show'],5.8,33.0,"Meet Mister H. I.. He's the host of the all-new series, ""The Anytime Show"". As king of the Hollywood Insider jungle, Mister H. I. or simply Mr. Hi, has his paws on the ground and his mane in the clouds as he provides a much-needed dose of laughter with his unique commentary on all things entertainment. This fierce host also plans to bring viewers up to speed on current events, whether they are funny, serious, good, or bad - he'll deliver it all with his signature wit and posh English charm. The Anytime Show premiered on April 17, 2020 exclusively on Hollywood Insider's YouTube channel. From his animated studio on Hollywood Insider's back-lot, Mr. Hi brings all things Hollywood right to your screen. Adorned with various entertainment trophies (Oscar, BAFTA, SAG, Golden Globes, Grammy, Emmys) and accolades lining his shelf, The Anytime Show set is visually appealing with vertical oak shiplap walls accompanied by Mr. Hi's personalized director's chair. A visual spectacle with a captivating host guiding his audience on a tour of current events?"
tt13308412,Drew & A,tvSeries,2020-10-24,['Talk-Show'],4.6,14.0,Drew McIntyre and guest will discussions about wrestling and beyond.
tt11358806,Cup of Joe,tvSeries,2020-04-27,"['Short', 'Talk-Show']",7.4,85.0,"Travel, photography and adventure with Joe Jonas."
tt10171532,The Oprah Conversation,tvSeries,2020-07-30,['Talk-Show'],4.0,449.0,"Oprah will lead timely and intimate discussions with today's foremost newsmakers, thought leaders, and masters of their craft."
tt9821508,IMDb at SXSW,tvSeries,2019-03-08,['Talk-Show'],6.5,32.0,"IMDb hits the streets of Austin with our film crew to cover all of the major red carpets, activations and interviews featuring the cast and filmmakers of up-and-coming films."
tt6476140,Serenity,movie,2019-01-25,"['Drama', 'Mystery', 'Thriller']",5.4,48491.0,A fishing boat captain juggles facing his mysterious past and finding himself ensnared in a reality where nothing is what it seems.
tt6511932,The Beach Bum,movie,2019-03-29,"['Comedy', 'Drama']",5.5,26266.0,A rebellious stoner named Moondog lives life by his own rules.
tt8367814,The Gentlemen,movie,2020-01-24,"['Action', 'Comedy', 'Crime']",7.8,444976.0,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
tt9398640,Between Two Ferns: The Movie,movie,2019-09-20,['Comedy'],6.1,38540.0,Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.
tt8027544,The Oscars Opening Ceremony: Live from the Red Carpet,tvSpecial,,,7.9,39.0,
tt11568358,eTalk Presents: TIFF 2018 presented by Bell,tvMiniSeries,2018-09-09,['Documentary'],,,"TV1 takes viewers backstage as ETALK hosts and producers offer a glimpse of all the action, and what it takes to cover one of the world's biggest film festivals. From the glamour of the first weekend, to the inner workings of a red carpet with some the biggest names in entertainment, ETALK will produce 10 mini-documentaries that will each profile a celebrated film or experience from TIFF 2018, available only on Fibe TV, Channel 1."
tt4537896,White Boy Rick,movie,2018-09-14,"['Crime', 'Drama']",6.5,47564.0,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison."
tt10452542,Harvey Can't Mess with Texas,tvSpecial,,['Music'],,,
tt7770020,U2 at the BBC,tvMovie,,"['Documentary', 'Music']",7.4,65.0,
tt3180122,John G. Avildsen: King of the Underdogs,movie,2017-08-01,['Documentary'],7.6,186.0,An examination of the Oscar-winning director who brought to life some of cinema's most beloved motion pictures.
tt6391108,Big Fan,tvSeries,2017-01-09,"['Comedy', 'Game-Show', 'Reality-TV']",4.9,64.0,Celebrities compete against their biggest fans on a game show.
tt6634050,The Envelope,tvMiniSeries,2017-02-08,['Talk-Show'],5.4,21.0,
tt1648190,The Dark Tower,movie,2017-08-04,"['Action', 'Adventure', 'Drama']",5.6,153210.0,A boy haunted by visions of a dark tower from a parallel reality teams up with the tower's disillusioned guardian to stop an evil warlock known as the Man in Black who plans to use the boy to destroy the tower and open the gates of Hell.
tt32028245,The Actor's Side with Pete Hammond,tvSeries,,['Talk-Show'],,,Pete Hammond of Deadline Hollywood sits down with the cream of the crop in the acting world for comprehensive discourse on their careers and creative processes.
tt6408336,Rock the Troops,tvSpecial,,['Music'],5.1,14.0,
tt5816346,Stand Up to Cancer,tvSpecial,,['Talk-Show'],6.7,31.0,
tt6198486,The 50th Annual CMA Awards,tvSpecial,,['Music'],7.7,27.0,
tt1800302,Gold,movie,2017-01-27,"['Biography', 'Crime', 'Drama']",6.7,73094.0,"Kenny Wells, a prospector desperate for a lucky break, teams up with a similarly eager geologist and sets off on a journey to find gold in the uncharted jungle of Indonesia."
tt1124037,Free State of Jones,movie,2016-06-24,"['Action', 'Biography', 'Drama']",6.9,67325.0,A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters and women in an uprising against the corrupt local Confederate government.
tt4302938,Kubo and the Two Strings,movie,2016-08-19,"['Action', 'Adventure', 'Animation']",7.7,144801.0,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
tt3470600,Sing,movie,2016-12-21,"['Animation', 'Comedy', 'Family']",7.1,207621.0,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
tt11859078,The American Cinematheque Tribute to Reese Witherspoon,tvSpecial,,,,,
tt4459236,The Friars Club Super Bowl Roast of Terry Bradshaw,tvSpecial,,"['Comedy', 'Sport']",7.8,13.0,
tt5087172,Think It Up,tvSpecial,,['Music'],,,
tt5070048,IMDb Asks,tvSeries,2015-10-01,['Talk-Show'],7.0,198.0,IMDb Asks gets the answers to the burning questions fans have for Hollywood's best and brightest.
tt3450900,The Sea of Trees,movie,2016-08-26,"['Drama', 'Fantasy', 'Mystery']",6.1,19467.0,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.
tt32246098,Bustle: YouTube Channel,tvSeries,,"['Short', 'Talk-Show']",,,"Celebrity discussions, lifestyle tips, and inspiring stories brought to you by Bustle magazine."
tt3410698,The 2014 Film Independent Spirit Awards,tvSpecial,,,6.1,55.0,
tt4172224,Interstellar: Nolan's Odyssey,tvMovie,,['Documentary'],7.0,224.0,
tt4415360,The Science of Interstellar,movie,2015-03-31,['Documentary'],7.1,689.0,"The Science of Christopher Nolan's Sci-Fi, Interstellar."
tt2356777,True Detective,tvSeries,2014-01-12,"['Crime', 'Drama', 'Mystery']",8.9,726824.0,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
tt0816692,Interstellar,movie,2014-11-07,"['Adventure', 'Drama', 'Sci-Fi']",8.7,2426120.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
tt3281320,The Hollywood Reporter Roundtables,tvMiniSeries,2013-12-22,['Talk-Show'],5.8,51.0,
tt3216832,Secret Lives of the Super Rich,tvSeries,2013-09-25,['Reality-TV'],5.9,79.0,"Secret Lives of the Super Rich"" unlocks the mansion gates and scores you the ultimate VIP access to an exclusive world filled with unimaginable extravagance and enormous fortunes."
tt3391950,The Hollywood Reporter in Focus,tvSeries,2013-12-29,['Talk-Show'],5.9,15.0,
tt0790636,Dallas Buyers Club,movie,2013-11-22,"['Biography', 'Drama']",7.9,541240.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
tt0993846,The Wolf of Wall Street,movie,2013-12-25,"['Biography', 'Comedy', 'Crime']",8.2,1733177.0,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
tt2185933,IC Places Hollywood,tvSeries,2012-01-20,['News'],5.5,45.0,"A weekly recap of everything that is hot in the world of movies, music, fashion and books."
tt2276210,The Hollywood Fast Lane,tvSeries,2012-06-08,['News'],6.2,44.0,
tt2226228,A Moment With,tvSeries,2012-03-01,['Talk-Show'],4.9,28.0,
tt1725029,Man in the Glass: The Dale Brown Story,movie,2012-05-08,"['Action', 'Biography', 'Documentary']",7.9,13.0,"A documentary that tells the story of Dale Brown, the legendary LSU basketball coach (1972-1997). The film boasts an all-star cast including Matthew McConaughey, Shaquille O'Neal, John Wooden, Dick Vitale and Tim Brando. The film chronicles his battles with the NCAA, his successful campaign to have a prisoner released and ultimately pardoned from Angola State Penitentiary, his efforts on behalf of native Americans and his life-long commitment to his players. This is not the story of a basketball coach; this is the story of an amazing and unique man who happened to coach basketball."
tt1915581,Magic Mike,movie,2012-06-29,"['Comedy', 'Drama', 'Music']",6.1,151382.0,"A male stripper teaches a younger performer how to party, pick up women, and make easy money."
tt1935179,Mud,movie,2013-05-10,"['Adventure', 'Drama']",7.4,197160.0,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.
tt1496422,The Paperboy,movie,2012-10-17,"['Crime', 'Drama', 'Mystery']",5.7,41418.0,A reporter returns to his Florida hometown to investigate a case involving a death row inmate.
tt2132638,Close Up,tvSeries,,"['Biography', 'Documentary']",6.2,63.0,"These collections of biographies, which were primarily intended for the Asian market, were filmed in English and then translated into the various languages of the network's countries of origin."
tt1625351,The 83rd Annual Academy Awards,tvSpecial,,"['Comedy', 'Music', 'Reality-TV']",6.3,1670.0,
tt1726669,Killer Joe,movie,2012-06-29,"['Crime', 'Drama', 'Thriller']",6.7,86913.0,"When a debt puts a young man's life in danger, he turns to putting a hit out on his evil mother in order to collect the insurance."
tt1189340,The Lincoln Lawyer,movie,2011-03-18,"['Crime', 'Drama', 'Mystery']",7.3,265971.0,"Defence lawyer Mick Haller lands a case defending a wealthy realtor's son who is accused of raping a prostitute. Believing his client to be innocent, Haller soon finds evidence that proves otherwise."
tt1704573,Bernie,movie,2012-06-22,"['Biography', 'Comedy', 'Crime']",6.8,66470.0,"In small-town Texas, an affable mortician strikes up a friendship with a wealthy widow, though when she starts to become controlling, he goes to great lengths to separate himself from her grasp."
tt1316064,Made in China,movie,2009-03-15,['Comedy'],5.8,279.0,"A confident young man with a unique style and a solid entrepreneurial spirit has made it his mission to bring the small pleasures in life to a global market. As an aspiring inventor inspired by history's most infamous jokesters, he's determined to jump through all the hoops in order to realize his dreams. When he's not taken seriously amongst the locals stateside, he takes it upon himself to travel to Shanghai and broker a manufacturing deal on his own. Lost in Shanghai, Johnson discovers that it takes more than a bright idea to succeed. It takes guts, determination, and a fist full of sneezing powder."
tt0821640,Ghosts of Girlfriends Past,movie,2009-05-01,"['Comedy', 'Fantasy', 'Romance']",5.8,98072.0,"While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends."
tt0976247,"Surfer, Dude",movie,2008-09-05,['Comedy'],4.6,9435.0,A wave twisting tale of a soul searching surfer experiencing an existential crisis.
tt0770752,Fool's Gold,movie,2008-02-08,"['Action', 'Adventure', 'Comedy']",5.7,88196.0,A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.
tt6282514,The Role That Changed My Life,tvSeries,2007-10-29,['Documentary'],4.1,27.0,
tt0800104,Keith Barry: Extraordinary,tvMovie,,['Fantasy'],7.7,42.0,
tt0934911,MovieReal: We Are Marshall,tvMovie,,['Documentary'],7.8,33.0,
tt0950474,What It Takes,tvSeries,2006-09-24,['Biography'],6.2,32.0,
tt0875887,Fuse Celebrity Playlist,tvSeries,2006-09-21,['Music'],3.6,18.0,"All new countdown show where Fuse spotlights celebrities counting down the music videos they love, while giving you sneak peak at their latest movies, TV shows, albums, and more."
tt0758794,We Are Marshall,movie,2006-12-22,"['Drama', 'Sport']",7.1,67097.0,"When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive."
tt0427229,Failure to Launch,movie,2006-03-10,"['Comedy', 'Romance']",5.7,92440.0,A thirty-something is still living with his parents until they hire an interventionist to help him graduate out of the house. That's when the fun begins.
tt0478966,Absolute Evel: The Evel Knievel Story,tvMovie,,"['Biography', 'Documentary', 'History']",7.1,39.0,
tt0847883,Making Dazed,movie,2005-09-18,['Documentary'],7.8,103.0,"This Actual Reality Pictures original documentary (directed by Kahane Corn) reunites the cast of Dazed and Confused and features behind-the-scenes footage from the making of the film. A decade after the hit comedy's 1993 release, director Richard Linklater reunited the cast -- Ben Affleck, Matthew McConaughey, Parker Posey and Adam Goldberg -- to celebrate the ten year anniversary of the film that helped launch their careers. Now you can watch the cast look back on the movie that changed their lives and on the decade that has passed since."
tt0450351,My Crazy Life,tvSeries,2005-03-16,['Comedy'],7.0,27.0,
tt0417217,Two for the Money,movie,2005-10-07,"['Crime', 'Drama', 'Sport']",6.2,53035.0,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business."
tt0318649,Sahara,movie,2005-04-08,"['Action', 'Adventure', 'Comedy']",6.1,107811.0,"Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator."
tt0356622,Frat Boys,tvMovie,,['Documentary'],5.4,30.0,
tt0361185,Freedom: A History of US,tvSeries,2003-01-12,"['Documentary', 'History']",5.6,508.0,A sixteen episode mini-series of the history of America.
tt0251127,How to Lose a Guy in 10 Days,movie,2003-02-07,"['Comedy', 'Romance']",6.5,308258.0,"Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
tt1058545,The Lost Dinosaurs of Egypt,tvMovie,,['Documentary'],6.7,16.0,
tt0376434,Tinseltown TV,tvSeries,2003-08-02,"['Music', 'News']",4.1,943.0,"Five camera crews are in action all week bringing audiences the best in film premieres, behind the scenes exclusives, music events, fashion shows and celebrity parties across the globe."
tt0253556,Reign of Fire,movie,2002-07-12,"['Action', 'Adventure', 'Fantasy']",6.2,150977.0,"A brood of fire-breathing dragons emerges from the earth and begins setting everything ablaze, establishing dominance over the planet."
tt0316768,Tiptoes,movie,2004-01-16,"['Comedy', 'Drama', 'Romance']",4.2,6581.0,The story of a peculiar love triangle involving two brothers.
tt0268690,Thirteen Conversations About One Thing,movie,2002-07-05,['Drama'],7.0,11796.0,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability."
tt0209475,The Wedding Planner,movie,2001-01-26,"['Comedy', 'Romance']",5.4,91457.0,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.
tt0264616,Frailty,movie,2002-04-12,"['Crime', 'Drama', 'Thriller']",7.2,97857.0,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to destroy people who were in fact ""demons."""
tt5032110,Nulle part ailleurs: midi,tvSeries,,,6.8,7.0,
tt0141926,U-571,movie,2000-04-21,"['Action', 'War']",6.6,90977.0,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.
tt0131369,EDtv,movie,1999-03-26,"['Comedy', 'Drama']",6.1,46373.0,A video store clerk agrees to have his life filmed by a camera crew for a television show.
tt0287789,Waking in Mississippi,movie,1998-06-08,"['Documentary', 'History']",7.3,20.0,"Waking in Mississippi explores the power of the national media to, surprisingly, mitigate long held animosities resulting from a legacy of slavery and Jim Crow. The irony of Hollywood fabricating a race riot for the sake of A Time to Kill provides a framework for presenting the complexity of race relations in a historically troubled region. Less than a year prior to filming, National Guardsmen were alerted to the possibility of actual race rioting in the town square, during federally monitored run-off election. Using footage of the movie production, scenes from the 1996 local premiere in Jackson, film clips, and interviews with writer John Grisham, director Joel Shumacher, actor Samuel Jackson and members of the film crew, we investigate the temporary and permanent effects of Hollywood's takeover of Canton. Local residents relate their personal experiences as extras and comment on the impact of the racially charged blockbuster. We incorporate local and national media coverage of the production, placing special emphasis on the commercial negotiations of the town's history."
